Erg	Case=Erg		N A Prop Num Pron Det	Ergative
Dat	Case=Dat		N A Prop Num Pron Det	Dative
Gen	Case=Gen		N A Prop Num Pron Det	Genitive
Inst	Case=Ins		N A Prop Num Pron Det	Instrumentalis
Advb	Case=Ess		N A Prop Num Pron Det	Adverbialis
Voc	Case=Voc		N A Prop Num Pron Det	Vocative
Pres	Tense=Pres		V	Present
Fut	Tense=Fut		V	Future
Impf	Tense=Imp		V	Imperfect
Cond	Tense=Pres|Mood=Cnd		V	Conditional
ConjPres	Tense=Pres|Mood=Sub		V	Conditional
ConjFut	Tense=Fut|Mood=Sub		V	Conditional
Opt	Tense=Past|Mood=Sub		V	Optative
ConjPerf	Tense=PastPerf|Mood=Sub		V	Optative	II.კავშ	Агәаҧхаратә ркьынаа	
Aor	Tense=Past		V	Aorist	Аор	Аорист (ииасхьоу инагӡоу)			
Perf	Tense=PastPerf		V	Perfect	I.თურმ	Ииасхьоу акрызхыҵуа			
PluPerf	Tense=Pqp		V	Pluperfect	II.თურმ	Ииасхьоу акрызхыҵуа иаҧынгылоу			
Impv	Mood=Imp		V	Imperative	ბრძ	Адҵаратә ркьынаа			
е наклонение
#Iter	Aspect=Iter		V	Iterative			
VN	VerbForm=Vnoun		VERB N	Verbal Noun, Masdar
#Act			V	Active	მოქმ				
#StatPass	Dyn=No|Voice=Pass		V	Passive	ვნებ				
# Pass	Voice=Pass		V	Passive	ვნებ				
Inv	Voice=Inv		V	Inverted	ინვერს	Аинверсивтә ҟаҵарба			
Caus	Voice=Cau		V	Causative	კაუზ	Акаузатив	иргылоит, идырбеит		
S:1Sg	Number[subj]=Sing|Person[subj]=1		V	1st Person Singular Subject	სუბ-1მხ
S:2Sg	Number[subj]=Sing|Person[subj]=2		V	2nd Person Singular Subject	სუბ-2
S:3Sg	Number[subj]=Sing|Person[subj]=3		V	3rd Person Singular Subject	სუბ-3
S:3	Person[subj]=3		V	3rd Person Subject	სუბ-3მხ				
S:1Pl	Number[subj]=Plur|Person[subj]=1		V	1st Person Plural Subject	სუბ-1მრ
S:2Pl	Number[subj]=Plur|Person[subj]=2		V	2nd Person Plural Subject	სუბ-2მრ
S:3Pl	Number[subj]=Plur|Person[subj]=3		V	3rd Person Plural Subject	სუბ-3მხ
DO:1Sg	Number[obj]=Sing|Person[obj]=1		V	1st Person Singular Direct Object	სუბ-1მხ
DO:2Sg	Number[obj]=Sing|Person[obj]=2		V	2nd Person Singular Direct Object	სუბ-2
DO:3	Person[obj]=3		V	3rd Person Direct Object	სუბ-3				
DO:3Sg	Number[obj]=Sing|Person[obj]=3		V	3rd Person Singular Direct Object	სუბ-3
DO:1Pl	Number[obj]=Plur|Person[obj]=1		V	1st Person Plural Direct Object	სუბ-1მრ				
DO:2Pl	Number[obj]=Plur|Person[obj]=2		V	2nd Person Plural Direct Object	სუბ-2მრ				
DO:3Pl	Number[obj]=Plur|Person[obj]=3		V	3rd Person Plural Direct Object	სუბ-3მხ
IO:1Sg	Number[io]=Sing|Person[io]=1		V	1st Person Singular Indirect Object	სუბ-1მხ
IO:2Sg	Number[io]=Sing|Person[io]=2		V	2nd Person Singular Indirect Object	სუბ-2
IO:3Sg	Number[io]=Sing|Person[io]=3		V	3rd Person Singular Indirect Object	სუბ-3
IO:3	Person[io]=3		V	3rd Person Indirect Object	სუბ-3
IO:1Pl	Number[io]=Plur|Person[io]=1		V	1st Person Plural Indirect Object	სუბ-1მრ
IO:2Pl	Number[io]=Plur|Person[io]=2		V	2nd Person Plural Indirect Object	სუბ-2მრ
IO:3Pl	Number[io]=Plur|Person[io]=3		V	3rd Person Plural Indirect Object	სუბ-3მხ
Cs:1Sg	Number[cs]=Sing|Person[cs]=1		V	1st Person Singular Causee	სუბ-1მხ				
Cs:2Sg	Number[cs]=Sing|Person[cs]=2		V	2nd Person Singular Causee	სუბ-2				
Cs:3Sg	Number[cs]=Sing|Person[cs]=3		V	3rd Person Singular Causee	სუბ-3მხ				
Cs:1Pl	Number[cs]=Plur|Person[cs]=1		V	1st Person Plural Causee	სუბ-1მრ				
Cs:2Pl	Number[cs]=Plur|Person[cs]=2		V	2nd Person Plural Causee	სუბ-2მრ				
Cs:3Pl	Number[cs]=Plur|Person[cs]=3		V	3rd Person Plural Causee	სუბ-3მხ				
#Meas			N	Measure	ზომ		ბოთლი		
#Encl				Enclitics	ენკლ	Ахәҭаҷ			
#Title			N	Work (book etc.) title	წოდ	სახელწოდება	რუსუდანიანი, ვეთხისტყაოსანი		
#Qual			N	Qualifier	კვალიფ	კვალიფიკატორი	პროფესორი, გემი,…		
Coll			N	Collective	კრებ				
# Mass			N	Mass noun	ზომ	ზომა-წონის სახელი			
Name	NameType=Prs		N Prop	Person name	სახელი				
#FirstName	NameType=Giv		N Prop	First name	სახელი				
LastName	NameType=Sur		N Prop	Last name	გვარი		Шьынқәба, Гәлиа		
Top	NameType=Geo		N Prop	Toponym	ტოპო				
#Area	NameType=Geo		N Prop Top	Area	მხარე				
Place	NameType=Geo		N Prop Top	Place	ადგილი	Атыҧ			
Hydr	NameType=Geo		N Prop Top	Hydronym	ჰიდრ				
Anthr	NameType=Prs		N Prop	Anthroponym	ანთროპ	Ахьӡ			
#Zoon	NameType=Geo		N Prop	Zoonym	ზოონ				
Org	NameType=Oth		N Prop	Organization	ორგ	Аиҿкаара			
Symbol	SYM	x		Symbol	სიმბ				
#<Null>			V	Null frame	<Null>	ნულოვანი			
#<S>			V	Intransitive absolute	<S>	გარდაუვალი აბსოლუტური			
#<S-DO>			V	Transitive absolute	<S-DO>	გარდამავალი აბსოლუტური			
#<S-IO>			V	Intransitive relative	<S-IO>	გარდაუვალი რელატიური			
#<S-DO-IO>			V	Transitive relative	<S-DO-DO>	გარდამავალი რელატიური			
#Encl:Q				Question suffix -ა	ენკლ:ა	კითხვითი ენკლიტიკა -ა			
#RelDist			Pron Rel	Distant Relative	მიმარ₃	დეიქსისის მესამე საფეხურის მიმართებითი სახელი	რომელ-იგი		
MWE				Multi-Word Expression	მსგ		избан акәзар		
<MWE>				Second, third… word of a MWE	<მსგ>
$SCONJ	ExtPos=SCONJ		Adv Cj Pron
$Prop	ExtPos=PROPN		N Prop
$Adv	ExtPos=ADV		Adv Cj Pron
$Interj	ExtPos=INTJ		Interj
>XCOMP:AUX	VERB	x
PastPart	VerbForm=Part|Tense=Past		A
PresPart	VerbForm=Part|Tense=Pres		A
NegPart	VerbForm=Part|Tense=Pres|Polarity=Neg		A
FutPart	VerbForm=Part|Tense=Fut		A
$VERB	VERB	x
$ADV	ADV	x
Converb	VerbForm=Conv	VERB
Poss1Sg	Number[psor]=Sing|Person=1		Pron
Poss2Sg	Number[psor]=Sing|Person=2		Pron
Poss3Sg	Number[psor]=Sing|Person=3		Pron
Poss1Pl	Number[psor]=Plur|Person=1		Pron
Poss2Pl	Number[psor]=Plur|Person=2		Pron
Poss3Pl	Number[psor]=Plur|Person=3		Pron
Encl:ც	Encl=C		
Encl:ცა	Encl=C		
Encl:რე	Encl=Re		
Encl:ვე	Encl=Ve		
Encl:მცა	Encl=Mca
Prt	PART	x		Particle		
IndSp1	Evident=Fh		Prt
IndSp2	Evident=Nfh		Prt
IndSp3	Evident=Nfh		Prt
